Seed,Date,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Ouaddai_percentage_error,Sila_observed,Sila_simulated,Sila_difference,Sila_percentage_error,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Wadi_Fira_percentage_error,MAE,RMSE,MAPE_percent,WAPE_percent
1015,2023-09-06,319545.0,336365.0,16820.0,5.263734372310629,63808.0,44768.0,-19040.0,29.839518555667,28983.0,31202.0,2219.0,7.656212262360694,12693.0,14723.65399620624,14.253155063446107,9.234944317255831
1016,2023-09-06,319545.0,335965.0,16420.0,5.138556384859722,63808.0,45028.0,-18780.0,29.432046138415245,28983.0,31340.0,2357.0,8.132353448573301,12519.0,14466.74634002638,14.234318657282754,9.108348531294865
1017,2023-09-06,319545.0,336187.0,16642.0,5.208030167894976,63808.0,45006.0,-18802.0,29.466524573721166,28983.0,31138.0,2155.0,7.43539316150847,12533.0,14550.090412090229,14.036649301041537,9.118534399130807
1018,2023-09-06,319545.0,336158.0,16613.0,5.198954763804784,63808.0,44821.0,-18987.0,29.756456870611835,28983.0,31354.0,2371.0,8.180657626884726,12657.0,14630.101150254111,14.378689753767116,9.2087520856777
1019,2023-09-06,319545.0,335989.0,16444.0,5.146067064106777,63808.0,44992.0,-18816.0,29.488465396188566,28983.0,31353.0,2370.0,8.177207328433909,12543.333333333334,14492.11155537154,14.270579929576419,9.12605253967638
1020,2023-09-06,319545.0,336137.0,16592.0,5.192382919463612,63808.0,44818.0,-18990.0,29.76115847542628,28983.0,31378.0,2395.0,8.26346478970431,12659.0,14624.757422489669,14.405668728198068,9.210207209654262
1021,2023-09-06,319545.0,336533.0,16988.0,5.31630912704001,63808.0,44596.0,-19212.0,30.109077231695085,28983.0,31204.0,2221.0,7.663112859262326,12807.0,14861.87436586202,14.362833072665806,9.31788638391991
1022,2023-09-06,319545.0,336131.0,16586.0,5.1905052496518485,63808.0,44618.0,-19190.0,30.074598796389168,28983.0,31586.0,2603.0,8.981126867474035,12793.0,14721.040554254309,14.748743637838352,9.30770051608397
1023,2023-09-06,319545.0,336128.0,16583.0,5.1895664147459675,63808.0,45088.0,-18720.0,29.33801404212638,28983.0,31119.0,2136.0,7.369837490942967,12479.666666666666,14491.339770129376,13.965805982605103,9.079731093089132
1024,2023-09-06,319545.0,336056.0,16511.0,5.167034377004804,63808.0,44986.0,-18822.0,29.49786860581745,28983.0,31288.0,2305.0,7.9529379291308695,12546.0,14516.586260779999,14.205946970651043,9.127992704978464
1025,2023-09-06,319545.0,335919.0,16374.0,5.124160916302868,63808.0,45076.0,-18732.0,29.356820461384153,28983.0,31336.0,2353.0,8.118552254770037,12486.333333333334,14428.355288574418,14.199844544152354,9.08458150634434
1026,2023-09-06,319545.0,336249.0,16704.0,5.227432755949867,63808.0,44798.0,-19010.0,29.792502507522567,28983.0,31285.0,2302.0,7.9425870337784215,12672.0,14670.865914003394,14.320840765750283,9.219665515501921
1027,2023-09-06,319545.0,336360.0,16815.0,5.262169647467493,63808.0,44697.0,-19111.0,29.950789869608823,28983.0,31277.0,2294.0,7.914984646171893,12740.0,14756.207529940295,14.375981387749404,9.269139730705056
1028,2023-09-06,319545.0,336470.0,16925.0,5.2965935940164925,63808.0,44613.0,-19195.0,30.08243480441324,28983.0,31248.0,2265.0,7.81492599109823,12795.0,14832.777611312948,14.39798479650932,9.309155640060533
1029,2023-09-06,319545.0,335933.0,16388.0,5.12854214586365,63808.0,45114.0,-18694.0,29.297266800401207,28983.0,31280.0,2297.0,7.925335541524342,12459.666666666666,14414.210453576707,14.117048162596399,9.065179853323503
1030,2023-09-06,319545.0,336524.0,16979.0,5.313492622322364,63808.0,44780.0,-19028.0,29.820712136409227,28983.0,31029.0,2046.0,7.059310630369526,12684.333333333334,14770.887368965572,14.064505129700372,9.228638780024058
