MAE,RMSE,MAPE_percent,WAPE_percent,Ouaddai_observed,Ouaddai_simulated,Ouaddai_difference,Sila_observed,Sila_simulated,Sila_difference,Wadi_Fira_observed,Wadi_Fira_simulated,Wadi_Fira_difference,Scenario,Sensitivity_type,Target,Percentage_change,Seed,Date
12582.666666666666,14515.450044693758,14.387035767069554,9.154669977882115,319545.0,335972.0,16427.0,63808.0,44933.0,-18875.0,28983.0,31429.0,2446.0,baseline_v3,baseline,baseline,0.0,1005,2023-09-06
12802.666666666666,14812.856375459798,14.497639716694351,9.314733615304025,319545.0,336394.0,16849.0,63808.0,44603.0,-19205.0,28983.0,31337.0,2354.0,baseline_v3,baseline,baseline,0.0,1006,2023-09-06
12914.0,14970.395474624798,14.532651733725787,9.39573551666602,319545.0,336627.0,17082.0,63808.0,44435.0,-19373.0,28983.0,31270.0,2287.0,baseline_v3,baseline,baseline,0.0,1007,2023-09-06
12826.0,14833.431655104852,14.544673587908683,9.331710061697256,319545.0,336405.0,16860.0,63808.0,44568.0,-19240.0,28983.0,31361.0,2378.0,baseline_v3,baseline,baseline,0.0,1008,2023-09-06
12890.0,14927.653488297035,14.552549053555671,9.378274028947265,319545.0,336551.0,17006.0,63808.0,44472.0,-19336.0,28983.0,31311.0,2328.0,baseline_v3,baseline,baseline,0.0,1009,2023-09-06
12665.0,14647.68824763826,14.361529597748767,9.214572581583951,319545.0,336193.0,16648.0,63808.0,44808.0,-19000.0,28983.0,31330.0,2347.0,baseline_v3,baseline,baseline,0.0,1010,2023-09-06
6978.333333333333,7872.136241199081,15.465626847764135,5.077170074890381,319545.0,321496.0,1951.0,63808.0,53339.0,-10469.0,28983.0,37498.0,8515.0,el_geneina_minus20,population,El_Geneina,-20.0,1001,2023-09-06
6823.0,7725.53473877375,15.227573095082628,4.964155446044003,319545.0,321351.0,1806.0,63808.0,53572.0,-10236.0,28983.0,37410.0,8427.0,el_geneina_minus20,population,El_Geneina,-20.0,1002,2023-09-06
7048.666666666667,7946.518273222976,15.601394240523081,5.128341934732839,319545.0,321534.0,1989.0,63808.0,53232.0,-10576.0,28983.0,37564.0,8581.0,el_geneina_minus20,population,El_Geneina,-20.0,1003,2023-09-06
6842.333333333333,7770.920516043557,15.354927518220505,4.97822164448411,319545.0,321275.0,1730.0,63808.0,53542.0,-10266.0,28983.0,37514.0,8531.0,el_geneina_minus20,population,El_Geneina,-20.0,1004,2023-09-06
6530.0,7525.841791232836,15.030356416355437,4.750979783477552,319545.0,320837.0,1292.0,63808.0,54012.0,-9796.0,28983.0,37485.0,8502.0,el_geneina_minus20,population,El_Geneina,-20.0,1005,2023-09-06
7005.0,7878.986800344318,15.436314675052088,5.0965717279112175,319545.0,321588.0,2043.0,63808.0,53299.0,-10509.0,28983.0,37446.0,8463.0,el_geneina_minus20,population,El_Geneina,-20.0,1006,2023-09-06
7136.0,7975.393323634055,15.523070861093016,5.191882348376082,319545.0,321819.0,2274.0,63808.0,53102.0,-10706.0,28983.0,37411.0,8428.0,el_geneina_minus20,population,El_Geneina,-20.0,1007,2023-09-06
6986.666666666667,7845.815062821708,15.347757609759896,5.083233091459392,319545.0,321629.0,2084.0,63808.0,53327.0,-10481.0,28983.0,37378.0,8395.0,el_geneina_minus20,population,El_Geneina,-20.0,1008,2023-09-06
6961.333333333333,7834.530447533747,15.35845330813371,5.0648015210895965,319545.0,321558.0,2013.0,63808.0,53365.0,-10443.0,28983.0,37411.0,8428.0,el_geneina_minus20,population,El_Geneina,-20.0,1009,2023-09-06
6632.333333333333,7549.744123699381,14.945217875714354,4.825433626945016,319545.0,321163.0,1618.0,63808.0,53857.0,-9951.0,28983.0,37311.0,8328.0,el_geneina_minus20,population,El_Geneina,-20.0,1010,2023-09-06
18172.333333333332,21510.02788623638,18.298549718042715,13.22149897171239,319545.0,346802.0,27257.0,63808.0,38483.0,-25325.0,28983.0,27048.0,-1935.0,el_geneina_plus20,population,El_Geneina,20.0,1001,2023-09-06
18140.333333333332,21392.510924776143,18.40530574367709,13.198216988087385,319545.0,346754.0,27209.0,63808.0,38749.0,-25059.0,28983.0,26830.0,-2153.0,el_geneina_plus20,population,El_Geneina,20.0,1002,2023-09-06
18340.0,21712.38090736865,18.461189693408343,13.343486865080905,319545.0,347052.0,27507.0,63808.0,38237.0,-25571.0,28983.0,27041.0,-1942.0,el_geneina_plus20,population,El_Geneina,20.0,1003,2023-09-06
18171.0,21506.918553494983,18.300225168333817,13.220528889061347,319545.0,346799.0,27254.0,63808.0,38488.0,-25320.0,28983.0,27044.0,-1939.0,el_geneina_plus20,population,El_Geneina,20.0,1004,2023-09-06
18066.0,21376.818254049565,18.204028839653372,13.1441348802918,319545.0,346643.0,27098.0,63808.0,38652.0,-25156.0,28983.0,27039.0,-1944.0,el_geneina_plus20,population,El_Geneina,20.0,1005,2023-09-06
18300.666666666668,21633.990632027802,18.47610401806124,13.31486942687517,319545.0,346995.0,27450.0,63808.0,38382.0,-25426.0,28983.0,26957.0,-2026.0,el_geneina_plus20,population,El_Geneina,20.0,1006,2023-09-06
18402.0,21717.537721083085,18.64208514557841,13.38859570835435,319545.0,347146.0,27601.0,63808.0,38341.0,-25467.0,28983.0,26845.0,-2138.0,el_geneina_plus20,population,El_Geneina,20.0,1007,2023-09-06
18244.666666666668,21571.655059359724,18.413207117422925,13.27412595553141,319545.0,346910.0,27365.0,63808.0,38448.0,-25360.0,28983.0,26974.0,-2009.0,el_geneina_plus20,population,El_Geneina,20.0,1008,2023-09-06
18398.666666666668,21740.78059009535,18.590828362311903,13.386170501726745,319545.0,347142.0,27597.0,63808.0,38271.0,-25537.0,28983.0,26921.0,-2062.0,el_geneina_plus20,population,El_Geneina,20.0,1009,2023-09-06
18243.0,21566.716895871443,18.41687096297376,13.272913352217607,319545.0,346907.0,27362.0,63808.0,38458.0,-25350.0,28983.0,26966.0,-2017.0,el_geneina_plus20,population,El_Geneina,20.0,1010,2023-09-06
18211.666666666668,21128.150786726856,20.441294236965803,13.250116409918125,319545.0,343686.0,24141.0,63808.0,36489.0,-27319.0,28983.0,32158.0,3175.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1001,2023-09-06
18064.333333333332,21023.34211457985,20.068534379385504,13.142922276977998,319545.0,343689.0,24144.0,63808.0,36710.0,-27098.0,28983.0,31934.0,2951.0,foro_baranga_minus20,population,Foro_Baranga,-20.0,1002,2023-09-06
